YT zhlédnutí (nejlepší trailer);Počasí (rating 1-5);Sezónnost;Sequel;Diváci (1.)
1375293.0;3;-0.3546;0.0;102082
1167269.0;2.5;0.3546;0.0;25171
1167269.0;1;-0.9927;1.0;45732
1167269.0;2.5;-1.0;1.0;161011
1167269.0;3;-0.9927;1.0;95858
1010026.0;1;-0.2393;1.0;173470
1004950.0;3;0.823;0.0;177682
993518.0;1;-0.4647;0.0;22512
993518.0;4.5;0.5681;1.0;69689
993518.0;1;-0.2393;1.0;52441
989302.0;3;-0.8855;0.0;9635
989302.0;1;-0.935;1.0;30225
986804.0;3;-0.823;1.0;162190
918337.0;5;0.7485;0.0;96886
918337.0;3;-0.7485;1.0;117860
895590.0;3;0.0;0.0;42361
863179.0;3;-1.0;1.0;101884
827492.0;2.5;-0.7485;0.0;43088
769183.0;3;-0.5681;1.0;110455
746012.0;3;0.1205;0.0;24848
743529.0;1;-0.3546;1.0;63049
740884.0;2.5;0.6631;0.0;71634
717820.0;3;-0.8855;0.0;39060
717820.0;1;-0.935;1.0;173706
716185.0;3;0.6631;0.0;254385
701937.0;3;-0.2393;0.0;7337
701937.0;1;-0.7485;1.0;66162
701937.0;3;-0.9927;1.0;23742
701937.0;2.5;-0.5681;1.0;27493
701937.0;2.5;-0.823;1.0;71344
701937.0;4;-0.1205;1.0;112446
701937.0;3;-0.2393;1.0;113055
701937.0;1;-0.9709;1.0;35444
692689.0;4;0.4647;0.0;43750
692689.0;4;0.8855;1.0;116951
684605.0;4.5;0.0;0.0;38260
684605.0;3;-0.9927;1.0;88118
684605.0;4.5;0.5681;1.0;149605
683035.0;1;-1.0;0.0;222328
677507.0;1;-0.4647;1.0;344411
662174.0;4.5;0.2393;1.0;131087
657937.0;4;0.7485;1.0;59231
649024.0;4.5;0.2393;0.0;83517
641665.0;1;0.1205;0.0;125170
604065.0;3;-0.9709;1.0;7224
602355.0;3;-0.9927;1.0;136391
593340.0;1;-0.1205;0.0;94360
593340.0;4.5;-0.3546;1.0;74041
593340.0;2.5;0.3546;0.0;0
593185.0;1;-0.935;1.0;15185
580059.0;3;-0.6631;0.0;70177
580059.0;3;-0.4647;1.0;29203
573160.0;3;-0.9709;0.0;20193
573160.0;3;-0.8855;1.0;68456
573160.0;1;-0.9709;1.0;64902
570770.0;3;0.3546;0.0;3038
567235.0;3;-0.4647;1.0;216053
566816.0;3;-0.9927;1.0;133806
559370.0;5;0.9927;0.0;36077
559370.0;4;0.935;1.0;26446
552260.0;1;-0.4647;1.0;13163
548630.0;2.5;-0.1205;0.0;226383
546813.0;4.5;0.4647;0.0;12427
546813.0;1;-0.7485;1.0;6079
546813.0;1;0.4647;1.0;16476
545705.0;4;0.9709;1.0;242758
540217.0;4;0.1205;0.0;11453
529875.0;4;0.7485;1.0;154118
526384.0;4;0.935;1.0;84946
522806.0;4.5;0.9709;1.0;179935
522124.0;4;0.7485;1.0;138785
517712.0;5;0.5681;0.0;5319
516076.0;1;0.0;0.0;50813
510794.0;4;0.9927;0.0;11197
510794.0;5;0.9927;1.0;9612
508670.0;3;0.0;0.0;48473
503048.0;5;0.5681;0.0;74812
503048.0;5;0.0;1.0;91747
503048.0;4;1.0;1.0;97939
501568.0;2.5;-0.5681;0.0;107378
501132.0;3;-0.823;0.0;16165
501132.0;1;-0.9927;1.0;21113
485499.0;4;0.8855;0.0;24117
485499.0;4.5;0.823;1.0;230550
482090.0;3;-0.9927;1.0;43107
478584.0;3;-0.935;0.0;23224
475436.0;3;0.7485;0.0;48488
475436.0;5;0.7485;1.0;63503
474292.0;3;0.2393;0.0;4770
469365.0;3;-0.9927;0.0;48711
466373.0;1;-0.2393;0.0;8906
454046.0;3;0.5681;0.0;18294
445632.0;3;0.935;0.0;0
445632.0;4.5;0.9927;1.0;31061
444856.0;4.5;0.1205;0.0;102926
443017.0;1;0.5681;0.0;97044
441120.0;1;0.3546;1.0;72516
440795.0;3;-0.6631;0.0;69054
439886.0;1;0.1205;0.0;15926
436258.0;4;0.8855;0.0;1043
434190.0;3;-1.0;1.0;97993
434048.0;2.5;-0.9927;0.0;21814
434048.0;1;-0.8855;1.0;19920
434048.0;3;0.2393;1.0;51662
434048.0;5;0.3546;1.0;57875
430703.0;1;-0.6631;0.0;10862
426638.0;4.5;0.8855;1.0;100760
425283.0;1;-0.9927;1.0;98147
424911.0;3;-0.935;1.0;0
424911.0;3;-0.823;1.0;88867
422234.0;3;-0.6631;0.0;13142
422119.0;1;-0.935;0.0;37802
421890.0;3;0.4647;1.0;56297
416845.0;2.5;0.935;1.0;21323
415791.0;3;-1.0;0.0;14325
414272.0;4;0.8855;0.0;17561
414272.0;3;-0.935;1.0;12116
414005.0;3;0.3546;0.0;0
411782.0;3;-0.9927;0.0;9782
411224.0;2.5;-0.2393;0.0;28170
408388.0;2.5;0.6631;0.0;2197
407978.0;1;-0.9709;0.0;20374
406836.0;1;-0.5681;0.0;14907
405376.0;2.5;0.2393;0.0;111831
403756.0;1;-0.8855;0.0;43960
403549.0;4;0.9709;0.0;37989
403290.0;4;0.8855;0.0;24481
394153.0;3;-0.4647;0.0;1854
393618.0;3;0.4647;1.0;154450
393224.0;3;-0.823;0.0;37969
392874.0;4;0.8855;0.0;2877
388659.0;1;-0.7485;0.0;22942
387467.0;4;0.9709;0.0;24357
385950.0;5;0.9927;1.0;32753
385950.0;3;0.4647;0.0;6232
385288.0;1;-0.8855;1.0;43714
384252.0;3;-0.7485;0.0;17644
381144.0;1;-0.7485;0.0;23270
380726.0;3;0.1205;0.0;105514
380460.0;4.5;0.8855;0.0;19109
371546.0;1;-0.3546;1.0;47553
370581.0;2.5;0.8855;0.0;0
364840.0;3;0.1205;0.0;22151
364840.0;1;0.0;1.0;60316
357494.0;3;-0.6631;0.0;291761
356940.0;4.5;0.823;0.0;46704
353269.0;1;-0.3546;0.0;10473
353067.0;4;0.935;0.0;16761
352530.0;4;0.935;0.0;106053
351307.0;1;0.0;0.0;57401
340209.0;4.5;-0.1205;0.0;0
340209.0;3;-0.2393;1.0;11849
340209.0;1;-0.2393;1.0;9547
340209.0;1;-0.6631;1.0;6996
340209.0;3;-0.8855;0.0;0
340138.0;3;-0.9709;1.0;75219
340138.0;3;-0.935;1.0;88227
340138.0;3;-0.9927;1.0;61273
340096.0;1;-0.1205;0.0;46757
339627.0;4;0.8855;0.0;28529
335538.0;2.5;-0.9927;0.0;8899
333796.0;4.5;0.0;0.0;68478
333588.0;5;0.9927;1.0;15201
329814.0;3;0.3546;0.0;16866
328255.0;4;0.8855;0.0;23530
328255.0;3;-0.823;1.0;60037
325370.0;4;0.1205;1.0;44731
325017.0;3;0.935;0.0;0
321958.0;1;0.4647;0.0;114751
321934.0;1;-0.8855;0.0;96819
317208.0;3;-0.5681;1.0;150117
316418.0;4.5;0.5681;0.0;50866
316240.0;4.5;0.5681;0.0;18040
316240.0;1;0.4647;1.0;13757
315959.0;3;0.7485;0.0;177112
315161.0;3;-0.9709;0.0;104358
314859.0;1;-0.7485;0.0;71208
314859.0;3;-0.7485;1.0;53488
314286.0;3;-0.8855;1.0;115525
313541.0;3;-0.9709;0.0;6624
311780.0;4.5;0.8855;1.0;70092
310979.0;1;-0.7485;1.0;14536
308730.0;4.5;0.5681;0.0;7057
307940.0;3;0.2393;0.0;0
307940.0;1;-0.9927;1.0;34071
307625.0;3;0.5681;0.0;13559
307625.0;4;0.8855;1.0;188005
306682.0;3;-0.3546;0.0;104916
306409.0;2.5;0.7485;1.0;89791
303200.0;3;-0.9927;1.0;17397
302221.0;2.5;0.7485;0.0;203188
299633.0;4.5;0.5681;0.0;76710
299633.0;3;0.935;1.0;43294
298295.0;3;0.7485;0.0;12498
298295.0;5;0.9709;1.0;47754
298273.0;2.5;-0.823;0.0;10156
297083.0;1;-0.5681;0.0;59073
296165.0;3;-0.9927;1.0;32875
294055.0;4.5;0.3546;0.0;153139
293584.0;4.5;1.0;0.0;52501
292336.0;3;-0.823;1.0;54483
291689.0;2.5;0.6631;0.0;55642
290817.0;3;-0.9927;0.0;71808
289987.0;3;-0.6631;0.0;39198
289987.0;1;0.0;1.0;94369
288439.0;1;-0.4647;0.0;10107
287089.0;1;-0.6631;0.0;23855
286395.0;1;-0.9709;0.0;23439
286083.0;1;-0.823;0.0;8962
285013.0;3;0.5681;0.0;15250
284060.0;3;-0.935;0.0;5907
284042.0;3;-0.1205;0.0;4921
283115.0;1;-0.3546;0.0;9411
282547.0;3;-0.823;0.0;45460
282445.0;4;0.9709;0.0;76787
281993.0;4.5;0.5681;0.0;7299
281749.0;1;-0.7485;1.0;56529
278511.0;3;0.9927;1.0;183709
275247.0;2.5;0.7485;0.0;52354
273870.0;3;-0.2393;0.0;31537
273870.0;3;0.8855;1.0;37436
